Date,actual,predicted
2018-02-05,254.259995,257.09720062481045
2018-02-06,265.720001,260.51869239700966
2018-02-07,264.559998,269.72146168641564
2018-02-08,250.100006,253.57172633743554
2018-02-09,249.470001,241.53127670467995
2018-02-12,257.950012,255.29158061298406
2018-02-13,258.269989,258.61490205051587
2018-02-14,266.0,268.231167655917
2018-02-15,280.269989,276.63870723228234
2018-02-16,278.519989,279.1930907485772
2018-02-20,278.549988,283.38204524402397
2018-02-21,281.040009,284.4785870289367
2018-02-22,278.140015,276.98892653786027
2018-02-23,285.929993,282.55592212831266
2018-02-26,294.160004,293.26440899888394
2018-02-27,290.609985,293.91966440049464
2018-02-28,291.380005,293.7158851679269
2018-03-01,290.390015,288.00551841430854
2018-03-02,301.049988,296.8810756335013
2018-03-05,315.0,310.5442053506456
2018-03-06,325.220001,323.11571333612164
2018-03-07,321.160004,319.71329017587857
2018-03-08,317.0,316.86614878193245
2018-03-09,331.440002,329.2546616660771
2018-03-12,321.299988,322.9896662750288
2018-03-13,315.880005,317.4586854380125
2018-03-14,321.549988,322.97682334569345
2018-03-15,321.089996,319.53077997701644
2018-03-16,318.450012,321.4667508748689
2018-03-19,313.480011,310.3378756162407
2018-03-20,317.5,318.0188703565451
2018-03-21,316.480011,317.49143184739467
2018-03-22,306.700012,308.21140572059517
2018-03-23,300.940002,303.66646824997576
2018-03-26,320.350006,312.8046938562941
2018-03-27,300.690002,302.05155234920113
2018-03-28,285.769989,286.04296898554463
2018-03-29,295.350006,285.4168093481867
2018-04-02,280.290009,279.3325478618898
2018-04-03,283.670013,284.4851657350267
2018-04-04,288.940002,285.05861119909224
2018-04-05,293.970001,295.0765753097039
2018-04-06,288.850006,294.37874990513006
2018-04-09,289.929993,296.12334028195073
2018-04-10,298.070007,294.4228106068066
2018-04-11,303.670013,309.83470640644526
2018-04-12,309.25,309.1428330539937
2018-04-13,311.649994,310.77880673325086
2018-04-16,307.779999,307.6953259181159
2018-04-17,336.059998,334.51304303294535
2018-04-18,334.519989,334.7830012428058
2018-04-19,332.700012,330.2389605725712
2018-04-20,327.769989,330.9344623982193
2018-04-23,318.690002,321.1717404807205
2018-04-24,307.019989,306.77315772793315
2018-04-25,305.76001,298.62345163805844
2018-04-26,313.980011,311.9614014578152
2018-04-27,311.76001,309.4060526626987
2018-04-30,312.459991,315.83671826984124
2018-05-01,313.299988,310.0458459169315
2018-05-02,313.359985,315.1124720150808
2018-05-03,311.690002,307.2357975864963
2018-05-04,320.089996,317.6554084322112
2018-05-07,326.26001,325.5837672762059
2018-05-08,326.890015,324.95506529672764
2018-05-09,330.299988,330.5550410564301
2018-05-10,329.600006,328.8365116843765
2018-05-11,326.459991,327.16167667742457
2018-05-14,328.529999,329.8472666555311
2018-05-15,326.130005,324.0956664887191
2018-05-16,328.190002,328.17802345329477
2018-05-17,325.220001,326.4041584614909
2018-05-18,324.179993,324.536348355581
2018-05-21,331.820007,329.84052600986786
2018-05-22,331.619995,334.0372614908159
2018-05-23,344.720001,341.0234006454254
2018-05-24,349.290009,350.1840498232966
2018-05-25,351.290009,353.0657644081606
2018-05-29,349.730011,351.7654962272246
2018-05-30,353.540009,351.48228483286795
2018-05-31,351.600006,352.6973665090194
2018-06-01,359.929993,358.21984761008304
2018-06-04,361.809998,357.5505763029879
2018-06-05,365.799988,367.36776933639965
2018-06-06,367.450012,366.1711746272998
2018-06-07,361.399994,360.2986339025816
2018-06-08,360.570007,360.2602760006275
2018-06-11,361.450012,364.3309428997336
2018-06-12,363.829987,364.4530081908698
2018-06-13,379.929993,378.82952464738844
2018-06-14,392.869995,392.8854489167056
2018-06-15,391.980011,395.43201933818466
2018-06-18,390.399994,391.4669331378835
2018-06-19,404.980011,402.0826430370186
2018-06-20,416.76001,415.34293231232346
2018-06-21,415.440002,411.8036112256452
2018-06-22,411.089996,412.6721382142049
2018-06-25,384.480011,385.7051803100868
2018-06-26,399.390015,399.7670484627165
2018-06-27,390.390015,397.2224276024839
2018-06-28,395.420013,390.9238442555325
2018-06-29,391.429993,394.37855548875285
2018-07-02,398.179993,391.2539102844325
2018-07-03,390.519989,391.9108652924125
2018-07-05,398.390015,396.2410307499218
2018-07-06,408.25,405.0608316164232
2018-07-09,418.970001,415.3713459117765
2018-07-10,415.630005,416.36661958047125
2018-07-11,418.649994,418.04802643311626
2018-07-12,413.5,411.4388605731747
2018-07-13,395.799988,399.34441931153685
2018-07-16,400.480011,398.3687030884745
2018-07-17,379.480011,378.3440082059034
2018-07-18,375.130005,377.20953642922325
2018-07-19,364.230011,369.3204978738237
2018-07-20,361.049988,366.47042731702766
2018-07-23,362.660004,359.0637005896463
2018-07-24,357.320007,357.9539091527904
2018-07-25,362.869995,361.01375340770755
2018-07-26,363.089996,363.0193118594743
2018-07-27,355.209991,354.8362776611249
2018-07-30,334.959991,338.42478659349223
2018-07-31,337.450012,338.00145002587556
2018-08-01,338.380005,341.36545423660857
2018-08-02,344.5,341.51768368394414
2018-08-03,343.089996,340.74500934900925
2018-08-06,350.920013,349.4604590348718
2018-08-07,351.829987,353.43273194852947
2018-08-08,347.609985,348.00622959822414
2018-08-09,349.359985,349.92847567860366
2018-08-10,345.869995,346.82750038927185
2018-08-13,341.309998,345.26913643873064
2018-08-14,337.48999,337.87744884844335
2018-08-15,326.399994,325.06521764548063
2018-08-16,322.440002,324.0083894530116
2018-08-17,316.779999,318.75871801657854
2018-08-20,327.730011,325.3114203495684
2018-08-21,338.019989,339.0900900432152
2018-08-22,344.440002,344.1528198657301
2018-08-23,339.170013,341.7071867102295
2018-08-24,358.820007,355.9468201782135
2018-08-27,364.579987,368.2045650778902
2018-08-28,368.48999,364.34595699852696
2018-08-29,368.040009,366.33108830761023
2018-08-30,370.980011,373.6278658187479
2018-08-31,367.679993,372.3809777570132
2018-09-04,363.600006,364.57489261309064
2018-09-05,341.179993,343.08400667347433
2018-09-06,346.459991,350.3947851446825
2018-09-07,348.679993,352.32919821687324
2018-09-10,348.410004,345.1323382832451
2018-09-11,355.929993,353.13970640201615
2018-09-12,369.950012,366.1215748970122
2018-09-13,368.149994,370.0490446229675
2018-09-14,364.559998,366.5828719714965
2018-09-17,350.350006,354.68949260663214
2018-09-18,367.649994,363.6450537961267
2018-09-19,366.959991,365.20173902208364
2018-09-20,365.359985,364.8886925882404
2018-09-21,361.190002,366.9564664389428
2018-09-24,369.609985,366.80288333869106
2018-09-25,369.429993,366.8443550233019
2018-09-26,377.880005,378.9106926265945
2018-09-27,380.709991,379.80851579965554
2018-09-28,374.130005,376.4350454281041
2018-10-01,381.429993,384.1263552870049
2018-10-02,377.140015,378.04785596938854
2018-10-03,377.049988,377.8158313995542
2018-10-04,363.649994,363.5750853294064
2018-10-05,351.350006,349.49654526225277
2018-10-08,349.100006,346.0881585380603
2018-10-09,355.709991,355.75218388138666
2018-10-10,325.890015,332.2819350337445
2018-10-11,321.100006,325.5045835165943
2018-10-12,339.559998,333.13330827387335
2018-10-15,333.130005,330.6982166338777
2018-10-16,346.399994,341.40339446879506
2018-10-17,364.700012,364.07156736346013
2018-10-18,346.709991,351.08699806311637
2018-10-19,332.670013,340.0708017091079
2018-10-22,329.540009,325.7928676940086
2018-10-23,333.160004,332.13674612577853
2018-10-24,301.829987,307.56772141825286
2018-10-25,312.869995,316.255905765769
2018-10-26,299.829987,305.29000820025897
2018-10-29,284.839996,283.6180277763771
2018-10-30,285.809998,285.0875082997076
2018-10-31,301.779999,307.512260874259
2018-11-01,317.380005,309.4743853852649
2018-11-02,309.100006,313.8317241199139
2018-11-05,315.440002,310.4911401346537
2018-11-06,310.839996,311.58109096224644
2018-11-07,327.5,324.12970824028616
2018-11-08,317.920013,322.27245134051685
2018-11-09,303.470001,302.52315283538286
2018-11-12,294.070007,294.77945976282604
2018-11-13,294.399994,297.3738806842175
2018-11-14,286.730011,284.052703565223
2018-11-15,290.059998,288.67407681598866
2018-11-16,286.209991,286.0397267981674
2018-11-19,270.600006,273.331046810688
2018-11-20,266.980011,268.2167456579134
2018-11-21,262.130005,264.9529235610836
2018-11-23,258.820007,261.64473886204894
2018-11-26,261.429993,260.032497042923
2018-11-27,266.630005,264.79568693686355
2018-11-28,282.649994,274.7816737013898
2018-11-29,288.75,283.90589192623986
2018-11-30,286.130005,286.8836431161044
2018-12-03,290.299988,291.1745018027936
2018-12-04,275.329987,283.40334650558447
2018-12-06,282.880005,279.4803897322705
2018-12-07,265.140015,268.4602487125206
2018-12-10,269.700012,267.07773885515314
2018-12-11,265.320007,265.49077931339065
2018-12-12,274.880005,278.08160778453026
2018-12-13,276.019989,274.5967061267489
2018-12-14,266.839996,271.1329921768929
2018-12-17,262.799988,267.431917427317
2018-12-18,270.940002,273.3763213236096
2018-12-19,266.769989,273.9369619507808
2018-12-20,260.579987,259.06359162816835
2018-12-21,246.389999,246.89776710225843
2018-12-24,233.880005,242.00263512635877
2018-12-26,253.669998,248.06730932059554
2018-12-27,255.570007,246.58512609949895
2018-12-28,256.079987,254.79380996493148
2018-12-31,267.660004,268.5426502189551
2019-01-02,267.660004,265.69817570199655
2019-01-03,271.200012,270.7007128081957
2019-01-04,297.570007,292.584431095698
2019-01-07,315.339996,314.35071635314847
2019-01-08,320.269989,311.602970143468
2019-01-09,319.959991,319.5268428436146
2019-01-10,324.660004,322.0614769198954
2019-01-11,337.589996,338.2538103192844
2019-01-14,332.940002,331.7753908701235
2019-01-15,354.640015,355.09342610510737
2019-01-16,351.390015,354.0613083229325
2019-01-17,353.190002,353.3613322855881
2019-01-18,339.100006,342.25577702775
2019-01-22,325.160004,326.1972053578353
2019-01-23,321.98999,323.84511035263927
2019-01-24,326.670013,328.57761578135126
2019-01-25,338.049988,337.9684230896272
2019-01-28,335.660004,331.7156897005476
2019-01-29,328.899994,331.718560378349
2019-01-30,340.660004,338.6569645426024
2019-01-31,339.5,343.82216957366813
2019-02-01,339.850006,344.71108797698696
2019-02-04,351.339996,349.3420453751779
2019-02-05,355.809998,358.8902477774947
2019-02-06,352.190002,349.2925362673766
2019-02-07,344.709991,341.68429436587996
2019-02-08,347.570007,346.1492961904836
2019-02-11,345.730011,348.22153125777743
2019-02-12,359.970001,356.6094557653015
2019-02-13,351.769989,354.0373638960183
2019-02-14,359.070007,356.1957735512095
2019-02-15,356.869995,361.25196807509553
2019-02-19,361.920013,362.9640672830852
2019-02-20,359.910004,360.0695953990348
2019-02-21,356.970001,357.48631337611715
2019-02-22,363.019989,365.11378459499
2019-02-25,363.910004,368.35732937991577
2019-02-26,364.970001,362.3887352519625
2019-02-27,362.869995,364.27763853391275
2019-02-28,358.100006,361.9369391181202
2019-03-01,357.320007,356.7932208684219
2019-03-04,351.040009,352.3377177451865
2019-03-05,354.299988,352.79671986599664
2019-03-06,359.609985,357.25770258949626
2019-03-07,352.600006,354.50861233834183
2019-03-08,349.600006,346.70683004668814
2019-03-11,358.859985,356.03443376228694
2019-03-12,356.269989,355.6895343448388
2019-03-13,361.209991,358.806345037284
2019-03-14,358.820007,361.46821061617385
2019-03-15,361.459991,362.2607628056892
2019-03-18,363.440002,368.9967978062827
2019-03-19,358.779999,359.35805928444034
2019-03-20,375.220001,370.9890779618898
2019-03-21,377.869995,375.69649263405375
